,IMG,Pti,Ptj,XPti,XPtj,XRefPti,XRefPtj,YPti,YPtj,YRefPti,YRefPtj,Distij,DistRefij
178,DSC00854_CLAHE_RGB.JPG,4,2,3561,1195,3560,696,2355,1545,2354,1406,2500.8110684335993,3016.819517306264
179,DSC00854_CLAHE_RGB.JPG,4,3,3561,4675,3560,4675,2355,1754,2354,1753,1265.7792066549364,1266.6593859439877
180,DSC00855_CLAHE_RGB.JPG,0,1,958,2678,958,2678,1722,1277,1719,1276,1776.6330515894383,1776.1331594224573
181,DSC00855_CLAHE_RGB.JPG,0,2,958,695,958,696,1722,1409,1719,1406,408.8251459976502,408.1825571971443
182,DSC00855_CLAHE_RGB.JPG,0,3,958,4675,958,4675,1722,1753,1719,1753,3717.129268669574,3717.155498496128
183,DSC00855_CLAHE_RGB.JPG,0,4,958,3561,958,3560,1722,2355,1719,2354,2678.861325264897,2678.363119519084
184,DSC00855_CLAHE_RGB.JPG,1,0,2678,958,2678,958,1277,1722,1276,1719,1776.6330515894383,1776.1331594224573
185,DSC00855_CLAHE_RGB.JPG,1,2,2678,695,2678,696,1277,1409,1276,1406,1987.388487437723,1986.2587948200505
186,DSC00855_CLAHE_RGB.JPG,1,3,2678,4675,2678,4675,1277,1753,1276,1753,2052.945444964381,2053.1775373795613
187,DSC00855_CLAHE_RGB.JPG,1,4,2678,3561,2678,3560,1277,2355,1276,2354,1393.4751522721888,1392.8416995480857
188,DSC00855_CLAHE_RGB.JPG,2,0,695,958,696,958,1409,1722,1406,1719,408.8251459976502,408.1825571971443
189,DSC00855_CLAHE_RGB.JPG,2,1,695,2678,696,2678,1409,1277,1406,1276,1987.388487437723,1986.2587948200505
190,DSC00855_CLAHE_RGB.JPG,2,3,695,4675,696,4675,1409,1753,1406,1753,3994.8386700841875,3994.1019015543407
191,DSC00855_CLAHE_RGB.JPG,2,4,695,3561,696,3560,1409,2355,1406,2354,3018.090787236196,3016.819517306264
192,DSC00855_CLAHE_RGB.JPG,3,0,4675,958,4675,958,1753,1722,1753,1719,3717.129268669574,3717.155498496128
193,DSC00855_CLAHE_RGB.JPG,3,1,4675,2678,4675,2678,1753,1277,1753,1276,2052.945444964381,2053.1775373795613
194,DSC00855_CLAHE_RGB.JPG,3,2,4675,695,4675,696,1753,1409,1753,1406,3994.8386700841875,3994.1019015543407
